schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.16 10:05:00,NZD,NZDUSD,1,5,0.000863213811,NONE,NONE,2025.06.16 09:00:00,0.6029200000,2025.05.26 09:00:00,0.6024000000,2025.06.23 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.16 10:05:00,CAD,USDCAD,-1,3,0.008203058843,NONE,NONE,2025.06.16 09:00:00,1.3580300000,2025.05.26 09:00:00,1.3691700000,2025.06.23 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.16 10:05:00,CHF,USDCHF,-1,2,0.010608282099,LONG,SELL,2025.06.16 09:00:00,0.8116300000,2025.05.26 09:00:00,0.8202400000,2025.06.23 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.16 10:05:00,JPY,USDJPY,-1,7,-0.010226933931,SHORT,BUY,2025.06.16 09:00:00,144.2270000000,2025.05.26 09:00:00,142.7520000000,2025.06.23 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.23 10:05:00,EUR,EURUSD,1,1,0.009315462615,LONG,BUY,2025.06.23 09:00:00,1.1506600000,2025.06.02 09:00:00,1.1400400000,2025.06.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.23 10:05:00,GBP,GBPUSD,1,4,-0.006917653319,NONE,NONE,2025.06.23 09:00:00,1.3437000000,2025.06.02 09:00:00,1.3530600000,2025.06.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.23 10:05:00,AUD,AUDUSD,1,5,-0.007113585402,NONE,NONE,2025.06.23 09:00:00,0.6420500000,2025.06.02 09:00:00,0.6466500000,2025.06.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.23 10:05:00,NZD,NZDUSD,1,6,-0.012309076070,SHORT,SELL,2025.06.23 09:00:00,0.5929800000,2025.06.02 09:00:00,0.6003700000,2025.06.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.23 10:05:00,CAD,USDCAD,-1,3,-0.004302544461,NONE,NONE,2025.06.23 09:00:00,1.3759300000,2025.06.02 09:00:00,1.3700100000,2025.06.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.23 10:05:00,CHF,USDCHF,-1,2,0.004225352113,LONG,SELL,2025.06.23 09:00:00,0.8165000000,2025.06.02 09:00:00,0.8199500000,2025.06.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.23 10:05:00,JPY,USDJPY,-1,7,-0.026707441386,SHORT,BUY,2025.06.23 09:00:00,147.1500000000,2025.06.02 09:00:00,143.2200000000,2025.06.30 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.30 10:05:00,EUR,EURUSD,1,2,0.027645535058,LONG,BUY,2025.06.30 09:00:00,1.1742700000,2025.06.09 09:00:00,1.1426800000,2025.07.07 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.30 10:05:00,GBP,GBPUSD,1,3,0.012256961335,NONE,NONE,2025.06.30 09:00:00,1.3734100000,2025.06.09 09:00:00,1.3567800000,2025.07.07 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.30 10:05:00,AUD,AUDUSD,1,5,0.004465518829,NONE,NONE,2025.06.30 09:00:00,0.6545700000,2025.06.09 09:00:00,0.6516600000,2025.07.07 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.30 10:05:00,NZD,NZDUSD,1,4,0.006004962779,NONE,NONE,2025.06.30 09:00:00,0.6081300000,2025.06.09 09:00:00,0.6045000000,2025.07.07 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.30 10:05:00,CAD,USDCAD,-1,7,0.001962722912,SHORT,BUY,2025.06.30 09:00:00,1.3654500000,2025.06.09 09:00:00,1.3681300000,2025.07.07 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.30 10:05:00,CHF,USDCHF,-1,1,0.028459310708,LONG,SELL,2025.06.30 09:00:00,0.7976300000,2025.06.09 09:00:00,0.8203300000,2025.07.07 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.30 10:05:00,JPY,USDJPY,-1,6,0.002279740888,SHORT,BUY,2025.06.30 09:00:00,143.8760000000,2025.06.09 09:00:00,144.2040000000,2025.07.07 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.07 10:05:00,EUR,EURUSD,1,2,0.015743541001,LONG,BUY,2025.07.07 09:00:00,1.1755200000,2025.06.16 09:00:00,1.1573000000,2025.07.14 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.07 10:05:00,GBP,GBPUSD,1,3,0.001972720514,NONE,NONE,2025.07.07 09:00:00,1.3612100000,2025.06.16 09:00:00,1.3585300000,2025.07.14 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.07 10:05:00,AUD,AUDUSD,1,4,0.000768899551,NONE,NONE,2025.07.07 09:00:00,0.6507800000,2025.06.16 09:00:00,0.6502800000,2025.07.14 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.07 10:05:00,NZD,NZDUSD,1,5,-0.003002056658,NONE,NONE,2025.07.07 09:00:00,0.6011100000,2025.06.16 09:00:00,0.6029200000,2025.07.14 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.07 10:05:00,CAD,USDCAD,-1,6,-0.004727075516,SHORT,BUY,2025.07.07 09:00:00,1.3644800000,2025.06.16 09:00:00,1.3580300000,2025.07.14 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.07 10:05:00,CHF,USDCHF,-1,1,0.020764161384,LONG,SELL,2025.07.07 09:00:00,0.7951200000,2025.06.16 09:00:00,0.8116300000,2025.07.14 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.07 10:05:00,JPY,USDJPY,-1,7,-0.005447637174,SHORT,BUY,2025.07.07 09:00:00,145.0170000000,2025.06.16 09:00:00,144.2270000000,2025.07.14 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.07.14 10:05:00,EUR,EURUSD,1,3,0.013592199260,NONE,NONE,2025.07.14 09:00:00,1.1663000000,2025.06.23 09:00:00,1.1506600000,2025.07.21 10:05:00
