condition,source_dataset,source_date_not_normalized_to_utc_plus_3,source_segment_previous_day_balance_proxy_usd,source_segment_realized_cash_flow_proxy_usd,source_segment_end_of_date_balance_proxy_usd,midnight_balance_utc_plus_3_usd,midnight_equity_utc_plus_3_usd,intraday_minimum_equity_usd,official_profitable_day_calculation_usd,authoritative_status,continuity_note
HIGH,V28_2025_DEVELOPMENT,2025-03-19,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-20,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-21,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-22,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-23,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-24,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-25,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-26,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-27,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-28,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-29,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-30,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-03-31,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-01,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-02,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-03,9826.9485068955,0.0000000000,9826.9485068955,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-04,9826.9485068955,-53.1759302352,9773.7725766604,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-05,9773.7725766604,0.0000000000,9773.7725766604,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-06,9773.7725766604,0.0000000000,9773.7725766604,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-07,9773.7725766604,389.7041352741,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-08,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-09,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-10,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-11,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-12,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-13,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-14,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-15,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-16,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-17,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-18,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-19,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-20,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-21,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-22,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-23,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-24,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-25,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-26,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-27,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-28,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-29,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-04-30,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-01,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-02,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-03,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-04,10163.4767119345,0.0000000000,10163.4767119345,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-05,10163.4767119345,380.8344408800,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-06,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-07,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-08,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-09,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-10,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-11,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-12,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-13,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-14,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-15,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-16,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-17,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-18,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-19,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-20,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-21,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-22,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-23,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-24,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-25,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-26,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-27,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-28,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-29,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-30,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-05-31,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
HIGH,V28_2025_DEVELOPMENT,2025-06-01,10544.3111528144,0.0000000000,10544.3111528144,,,,,INSUFFICIENT_EVIDENCE,
