schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,scheduled_entry_target,entry_atr
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.22 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.22 17:00:00,0,BUY,1.1601700000,0.0000000000,12,0.0000,0.10000000,23.40000000,1.1578300000,40,40,10009,NONE,NO,2026.05.22 18:05:00,0.001169209987
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.22 22:05:04,2026_P2,EXIT_ATTEMPT,2026.05.22 21:00:00,40,BUY,1.1608100000,0.0000000000,0,0.0000,0.10000000,0,0,41,41,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.22 22:05:04,2026_P2,EXIT_TRANSACTION,NONE,40,BUY,1.1608100000,1.1608100000,0,0.0000,0.10000000,0,0,41,41,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.25 18:05:04,2026_P2,ENTRY_ATTEMPT,2026.05.25 17:00:00,0,BUY,1.1641900000,0.0000000000,12,0.0000,0.12000000,23.64000000,1.1622200000,42,42,10009,NONE,NO,2026.05.25 18:05:00,0.000984507508
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.25 22:05:01,2026_P2,EXIT_ATTEMPT,2026.05.25 21:00:00,42,BUY,1.1642700000,0.0000000000,0,0.0000,0.12000000,0,0,43,43,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.25 22:05:01,2026_P2,EXIT_TRANSACTION,NONE,42,BUY,1.1642700000,1.1642700000,0,0.0000,0.12000000,0,0,43,43,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.26 18:05:02,2026_P2,ENTRY_ATTEMPT,2026.05.26 17:00:00,0,BUY,1.1623000000,0.0000000000,12,0.0000,0.14000000,23.94000000,1.1605900000,44,44,10009,NONE,NO,2026.05.26 18:05:00,0.000850711218
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.26 22:05:01,2026_P2,EXIT_ATTEMPT,2026.05.26 21:00:00,44,BUY,1.1628700000,0.0000000000,0,0.0000,0.14000000,0,0,45,45,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.26 22:05:01,2026_P2,EXIT_TRANSACTION,NONE,44,BUY,1.1628700000,1.1628700000,0,0.0000,0.14000000,0,0,45,45,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.27 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.27 17:00:00,0,BUY,1.1632000000,0.0000000000,12,0.0000,0.12000000,24.84000000,1.1611300000,46,46,10009,NONE,NO,2026.05.27 18:05:00,0.001034312501
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.27 22:05:02,2026_P2,EXIT_ATTEMPT,2026.05.27 21:00:00,46,BUY,1.1629700000,0.0000000000,0,0.0000,0.12000000,0,0,47,47,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.27 22:05:02,2026_P2,EXIT_TRANSACTION,NONE,46,BUY,1.1629700000,1.1629700000,0,0.0000,0.12000000,0,0,47,47,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.28 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.28 17:00:00,0,BUY,1.1652200000,0.0000000000,12,0.0000,0.09000000,23.85000000,1.1625700000,48,48,10009,NONE,NO,2026.05.28 18:05:00,0.001320623581
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.28 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.28 21:00:00,48,BUY,1.1647500000,0.0000000000,0,0.0000,0.09000000,0,0,49,49,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.28 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,48,BUY,1.1647500000,1.1647500000,0,0.0000,0.09000000,0,0,49,49,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.29 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.29 17:00:00,0,BUY,1.1671000000,0.0000000000,13,0.0000,0.10000000,23.30000000,1.1647700000,50,50,10009,NONE,NO,2026.05.29 18:05:00,0.001164415213
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.29 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.29 21:00:00,50,BUY,1.1665500000,0.0000000000,0,0.0000,0.10000000,0,0,51,51,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.29 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,50,BUY,1.1665500000,1.1665500000,0,0.0000,0.10000000,0,0,51,51,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.01 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.01 17:00:00,0,BUY,1.1618900000,0.0000000000,12,0.0000,0.11000000,24.31000000,1.1596800000,52,52,10009,NONE,NO,2026.06.01 18:05:00,0.001101948166
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.01 22:05:00,2026_P2,EXIT_ATTEMPT,2026.06.01 21:00:00,52,BUY,1.1632400000,0.0000000000,0,0.0000,0.11000000,0,0,53,53,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.01 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,52,BUY,1.1632400000,1.1632400000,0,0.0000,0.11000000,0,0,53,53,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.02 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.02 17:00:00,0,BUY,1.1641200000,0.0000000000,13,0.0000,0.14000000,24.78000000,1.1623500000,54,54,10009,NONE,NO,2026.06.02 18:05:00,0.000884781100
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.02 20:26:23,2026_P2,EXIT_TRANSACTION,NONE,54,BUY,0.0000000000,1.1623500000,0,0.0000,0.14000000,0,0,55,55,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.03 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.03 17:00:00,0,BUY,1.1606400000,0.0000000000,13,0.0000,0.12000000,24.00000000,1.1586400000,56,56,10009,NONE,NO,2026.06.03 18:05:00,0.000996721937
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.03 22:05:01,2026_P2,EXIT_ATTEMPT,2026.06.03 21:00:00,56,BUY,1.1598900000,0.0000000000,0,0.0000,0.12000000,0,0,57,57,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
