schema,server_time,time_msc,event,balance,equity,floating_profit,margin,free_margin,positions
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 08:23:32,1772439812113,TRADE_TRANSACTION,10682.19000000,10650.07000000,-32.12000000,312.55000000,10337.52000000,6
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 08:23:32,1772439812113,TRADE_TRANSACTION,10682.19000000,10650.07000000,-32.12000000,312.55000000,10337.52000000,6
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 08:23:32,1772439812113,TRADE_TRANSACTION,10682.19000000,10650.07000000,-32.12000000,312.55000000,10337.52000000,6
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
