schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,AUD,AUDUSD,1,1,0.021820608194,LONG,BUY,2026.05.04 09:00:00,0.7197500000,2026.04.13 09:00:00,0.7043800000,2026.05.11 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,NZD,NZDUSD,1,4,0.013519309623,NONE,NONE,2026.05.04 09:00:00,0.5907500000,2026.04.13 09:00:00,0.5828700000,2026.05.11 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,CAD,USDCAD,-1,2,0.019013644221,LONG,SELL,2026.05.04 09:00:00,1.3595500000,2026.04.13 09:00:00,1.3854000000,2026.05.11 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,CHF,USDCHF,-1,6,0.012467359582,SHORT,BUY,2026.05.04 09:00:00,0.7812400000,2026.04.13 09:00:00,0.7909800000,2026.05.11 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,JPY,USDJPY,-1,3,0.017537822302,NONE,NONE,2026.05.04 09:00:00,156.9180000000,2026.04.13 09:00:00,159.6700000000,2026.05.11 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.11 10:05:00,EUR,EURUSD,1,7,0.000229507918,SHORT,SELL,2026.05.11 09:00:00,1.1767000000,2026.04.20 09:00:00,1.1764300000,2026.05.18 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.11 10:05:00,GBP,GBPUSD,1,4,0.006856618192,NONE,NONE,2026.05.11 09:00:00,1.3597800000,2026.04.20 09:00:00,1.3505200000,2026.05.18 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.11 10:05:00,AUD,AUDUSD,1,3,0.011893115689,NONE,NONE,2026.05.11 09:00:00,0.7240500000,2026.04.20 09:00:00,0.7155400000,2026.05.18 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.11 10:05:00,NZD,NZDUSD,1,1,0.013007576402,LONG,BUY,2026.05.11 09:00:00,0.5949900000,2026.04.20 09:00:00,0.5873500000,2026.05.18 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.11 10:05:00,CAD,USDCAD,-1,6,0.001220849477,SHORT,BUY,2026.05.11 09:00:00,1.3679000000,2026.04.20 09:00:00,1.3695700000,2026.05.18 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.11 10:05:00,CHF,USDCHF,-1,5,0.005529124341,NONE,NONE,2026.05.11 09:00:00,0.7777000000,2026.04.20 09:00:00,0.7820000000,2026.05.18 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.11 10:05:00,JPY,USDJPY,-1,2,0.011937066055,LONG,SELL,2026.05.11 09:00:00,156.9900000000,2026.04.20 09:00:00,158.8640000000,2026.05.18 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.18 10:05:00,EUR,EURUSD,1,6,-0.008005797596,SHORT,SELL,2026.05.18 09:00:00,1.1635100000,2026.04.27 09:00:00,1.1729000000,2026.05.25 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.18 10:05:00,GBP,GBPUSD,1,7,-0.013291662972,SHORT,SELL,2026.05.18 09:00:00,1.3354900000,2026.04.27 09:00:00,1.3534800000,2026.05.25 10:05:00
