schema,server_hour,opening_time_msc,closing_time_msc,opening_balance,opening_equity,closing_balance,closing_equity,minimum_equity,minimum_time_msc,profit_at_minimum,opening_positions,closing_positions,maximum_positions
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 04:00:00,1773374400090,1773377997243,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773374400090,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 05:00:00,1773378000276,1773381599160,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773378000276,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 06:00:00,1773381600374,1773385199701,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773381600374,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 07:00:00,1773385200108,1773388798287,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773385200108,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 08:00:00,1773388800111,1773392393453,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773388800111,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 09:00:00,1773392400133,1773395999905,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773392400133,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 10:00:00,1773396000311,1773399599882,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773396000311,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 11:00:00,1773399600288,1773403198820,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773399600288,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 12:00:00,1773403200038,1773406799436,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773403200038,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 13:00:00,1773406800245,1773410398850,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773406800245,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 14:00:00,1773410400165,1773413999123,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773410400165,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 15:00:00,1773414000338,1773417598757,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773414000338,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 16:00:00,1773417600076,1773421199911,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773417600076,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 17:00:00,1773421200316,1773424799660,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773421200316,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 18:00:00,1773424800064,1773428399821,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773424800064,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 19:00:00,1773428400228,1773431999716,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773428400228,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 20:00:00,1773432000124,1773435599391,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773432000124,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 21:00:00,1773435600302,1773439198333,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773435600302,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 22:00:00,1773439200053,1773442799302,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773439200053,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 23:00:00,1773442800213,1773446395909,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773442800213,0.00000000,0,0,0
